date,sm,quality,pass
2022-01-01 06:00:00,,0,AM
2022-01-01 18:00:00,,0,PM
2022-01-02 06:00:00,0.37006667485603917,13,AM
2022-01-02 18:00:00,0.31257177591323854,5,PM
2022-01-03 06:00:00,,0,AM
2022-01-03 18:00:00,0.31830522647270787,13,PM
2022-01-04 06:00:00,0.3567171096801758,4,AM
2022-01-04 18:00:00,,0,PM
2022-01-05 06:00:00,0.33607684878202587,13,AM
2022-01-05 18:00:00,0.3109970482496115,13,PM
2022-01-06 06:00:00,,0,AM
2022-01-06 18:00:00,,0,PM
2022-01-07 06:00:00,0.3750793544145731,13,AM
2022-01-07 18:00:00,,0,PM
2022-01-08 06:00:00,,0,AM
2022-01-08 18:00:00,0.3304311976982997,13,PM
2022-01-09 06:00:00,,0,AM
2022-01-09 18:00:00,,0,PM
2022-01-10 06:00:00,0.41808409645007205,13,AM
2022-01-10 18:00:00,0.3889546453952789,5,PM
2022-01-11 06:00:00,,0,AM
2022-01-11 18:00:00,0.3624924077437474,13,PM
2022-01-12 06:00:00,0.36536625027656555,4,AM
2022-01-12 18:00:00,,0,PM
2022-01-13 06:00:00,0.37089893451103795,13,AM
2022-01-13 18:00:00,0.35076006100727963,13,PM
2022-01-14 06:00:00,,0,AM
2022-01-14 18:00:00,,0,PM
2022-01-15 06:00:00,0.3592662192307986,13,AM
2022-01-15 18:00:00,,0,PM
2022-01-16 06:00:00,,0,AM
2022-01-16 18:00:00,0.3285536009531755,13,PM
2022-01-17 06:00:00,,0,AM
2022-01-17 18:00:00,,0,PM
2022-01-18 06:00:00,0.35436153641113866,13,AM
2022-01-18 18:00:00,0.3394973576068878,5,PM
2022-01-19 06:00:00,,0,AM
2022-01-19 18:00:00,0.34353337379602283,13,PM
2022-01-20 06:00:00,0.4271485090255737,5,AM
2022-01-20 18:00:00,,0,PM
2022-01-21 06:00:00,0.41823646884698135,13,AM
2022-01-21 18:00:00,0.3595837217110854,13,PM
2022-01-22 06:00:00,,0,AM
2022-01-22 18:00:00,,0,PM
2022-01-23 06:00:00,0.384625093295024,13,AM
2022-01-23 18:00:00,,0,PM
2022-01-24 06:00:00,,0,AM
2022-01-24 18:00:00,0.35816044303087086,13,PM
2022-01-25 06:00:00,,0,AM
2022-01-25 18:00:00,,0,PM
2022-01-26 06:00:00,0.42195496880091155,13,AM
2022-01-26 18:00:00,0.4003196607033412,6,PM
2022-01-27 06:00:00,,0,AM
2022-01-27 18:00:00,0.4013775363564491,4,PM
2022-01-28 06:00:00,0.40638709664344785,5,AM
2022-01-28 18:00:00,0.37873077723715043,9,PM
2022-01-29 06:00:00,,0,AM
2022-01-29 18:00:00,,0,PM
2022-01-30 06:00:00,,0,AM
2022-01-30 18:00:00,,0,PM
2022-01-31 06:00:00,0.3741818299660316,13,AM
2022-01-31 18:00:00,,0,PM
2022-02-01 06:00:00,,0,AM
2022-02-01 18:00:00,0.403703150840906,13,PM
2022-02-02 06:00:00,,0,AM
2022-02-02 18:00:00,,0,PM
2022-02-03 06:00:00,0.38927037670062137,13,AM
2022-02-03 18:00:00,0.40602223787988934,7,PM
2022-02-04 06:00:00,,0,AM
2022-02-04 18:00:00,,0,PM
2022-02-05 06:00:00,0.4313321113586426,6,AM
2022-02-05 18:00:00,0.4060759452673105,13,PM
2022-02-06 06:00:00,,0,AM
